JAM,WINNER,GAME,THEME
63,Jose Moyano>>>https://jose-moyano.itch.io/,Warlock and the Storm>>>https://jose-moyano.itch.io/warlock-and-the-storm,Weather The Storm
62,LegionGames>>>https://legiongames.itch.io/,Virus Traffic Control>>>https://legiongames.itch.io/virus-traffic-control,Viral Infection
61,Gunnar Clovis>>>https://gunnar-clovis.itch.io/,Inverse Pair>>>https://gunnar-clovis.itch.io/inverse-pair,Negative Space
60,Regular Celt>>>https://regular-celt.itch.io/,lights are out!>>>https://regular-celt.itch.io/lights-are-out,When The Lights Turn Off
59,GreenBoxGames>>>https://greenboxgames.itch.io/,The Blind Knight>>>https://greenboxgames.itch.io/the-blind-knight,If You Don't Hear It. It Doesn't Exist
58,Donitz>>>https://donitz.itch.io/,FlipFlip>>>https://donitz.itch.io/flipflip,0 Buttons
57,Barquest>>>https://barquest.itch.io/,Toy Factory>>>https://barquest.itch.io/toy-factory,Factory
56,random-villain>>>https://random-villain.itch.io/,Greetings neighbor>>>https://random-villain.itch.io/greetings-neighbor,Evil is More Fun
55,Nezvers>>>https://nezvers.itch.io/,Stuck in the Room>>>https://nezvers.itch.io/stuck-in-the-room,Fun In A Blank Room
54,Gunnar Clovis>>>https://gunnar-clovis.itch.io/,The Score Is Stacked Against You>>>https://gunnar-clovis.itch.io/the-score-is-stacked-against-you,Unfair Advantage
53,Jimmy Schubert>>>https://jimmy-schubert.itch.io/,Left Right Launch >>>https://jimmy-schubert.itch.io/left-right-launch,I Have The High Ground
52,Flod-Gamedev>>>https://flod-gamedev.itch.io/,Balls..... And maybe some cubes... >>>https://flod-gamedev.itch.io/balls-and-maybe-some-cubes,Fun with physics
51,KatieLG>>>https://katielg.itch.io/,Slime Guide >>>https://katielg.itch.io/slime-guide,Who is the enemy?
