JAM,WINNER,GAME,THEME
100,Nizart>>>https://nizart.itch.io,Retro Racer>>>https://nizart.itch.io/retro-racer, Retro games; Dangerous choices; Curse of the wise
99,Timmay>>>https://timmay.itch.io&&&negativezero>>>https://royalstove.itch.io&&&Zuratu>>>https://zuratu.itch.io,Nanobotica>>>https://timmay.itch.io/nanobotica, 99%
98,CodeNMore>>>https://codenmore.itch.io,Plow Puzzle>>>https://codenmore.itch.io/plow-puzzle, Too Much of Something Good Is Bad OR Snow
97,Caterpillar Games>>>https://caterpillargames.itch.io,Hex Hacker>>>https://caterpillargames.itch.io/hex-hacker, Unorthodox Solutions OR Illegal Actions
96,psevrain>>>https://psevrain.itch.io,Troubles in the Petri>>>https://psevrain.itch.io/troubles-in-the-petri, Microbiology
95,JafCraze>>>https://jafcraze.itch.io,Ham-Star>>>https://jafcraze.itch.io/ham-star, Hamsters
94,psevrain>>>https://psevrain.itch.io&&&Tomajiwak>>>https://tomajiwak.itch.io,Happy end>>>https://psevrain.itch.io/happy-end, a + b = c
93,SebasRez>>>https://sebasrez.itch.io,Too Many Ghosts>>>https://sebasrez.itch.io/too-many-ghosts, Unachievable
92,C. Kurtz>>>https://ckurtz.itch.io,Fliplighter>>>https://ckurtz.itch.io/fliplighter, Waves of Light
91,AngryArugula>>>https://angryarugula.itch.io&&&KetrinaDrawsALot>>>https://ketrinadrawsalot.itch.io,Huddle>>>https://angryarugula.itch.io/huddle, There Is Safety In Numbers
90,nezvers>>>https://nezvers.itch.io,Le Meng Sauver>>>https://nezvers.itch.io/le-meng, Save a life
89,JafCraze>>>https://jafcraze.itch.io,LetterByLetter>>>https://jafcraze.itch.io/letterbyletter, Remove it!
88,JafCraze>>>https://jafcraze.itch.io,Hotato Potato>>>https://jafcraze.itch.io/hotato-potato, Hot Potato
87,Matteo Benaissa>>>https://matteo-benaissa.itch.io,Deadly drifting>>>https://matteo-benaissa.itch.io/deadlydrifting, Keep drifting
86,Matteo Benaissa>>>https://matteo-benaissa.itch.io,Perfect Popstar>>>https://matteo-benaissa.itch.io/perfectpopstar, Stars
85,Matteo Benaissa>>>https://matteo-benaissa.itch.io,Atchoum !>>>https://matteo-benaissa.itch.io/atchoum, Hard-and-fast
84,Kiel97>>>https://kiel97.itch.io,Bot Commands You>>>https://kiel97.itch.io/bot-commands-you, Bot Commands
83,andyman404>>>https://andyman404.itch.io,Bonsai by Numbers>>>https://andyman404.itch.io/bonsai-by-numbers, "Trees"
82,XXpoomaanXX>>>https://xxpoomaanxx.itch.io,Lagging Zombies>>>https://xxpoomaanxx.itch.io/lagging-zombies, Delay
81,dwemthy>>>https://dwemthy.itch.io,What is Mine is Mine>>>https://dwemthy.itch.io/whats-mine-is-mine, Mining
80,swescot>>>https://swescot.itch.io&&& Haiyoooo>>>https://haiyoooo.itch.io/,Breakfast Adventure>>>https://swescot.itch.io/breakfast-adventure, What goes up (must come down)
79,JafCraze>>>https://jafcraze.itch.io,UnFriendly Fire>>>https://jafcraze.itch.io/unfriendly-fire, Anti-gravity / If You Play With Fire / You'll Get Burned 
78,Timmay>>>https://timmay.itch.io/&&& NegativeZero>>>https://negativezero.itch.io/&&& Zuratu>>>https://zuratu.itch.io/,Dreams of Neon>>>https://timmay.itch.io/dreams-of-neon, Robots also dream
77,SmoothProcess>>>https://smoothprocess.itch.io,RedBlue>>>https://smoothprocess.itch.io/redblue, The Game Lies
Triple Trijam,AngryArgula>>>https://angryarugula.itch.io/&&&KetrinaDrawsALot>>>https://ketrinadrawsalot.itch.io/,Beereakout>>>https://angryarugula.itch.io/beereakout,Novel Twist on Classic Game
76,Donitz>>>https://donitz.itch.io,Blobcon>>>https://donitz.itch.io/blobcon, Imposters
